@relation 'allData-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-23,25-28-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Unemployment_rate_2015 numeric
@attribute Median_Household_Income_2015 numeric
@attribute poverty_rate numeric
@attribute college_rate numeric
@attribute crime_rate_per_100000 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.265766,0.52062,0.117801,0.637363,0.210233,cluster3
0.207207,0.297381,0.405759,0.604396,0.241346,cluster1
0.153153,0.428703,0.280105,0.546703,0.205733,cluster3
0.081081,0.656593,0.235602,0.25,0.391419,cluster3
0.31982,0.295585,0.353403,0.598901,0.495071,cluster1
0.130631,0.377328,0.272251,0.703297,0.182888,cluster4
0.072072,0.759558,0.133508,0.406593,0.131338,cluster3
0.157658,0.389832,0.306283,0.502747,0.210434,cluster3
0.108108,0.769829,0.133508,0.343407,0.148107,cluster3
0.256757,0.407229,0.293194,0.563187,0.215618,cluster3
0.265766,0.223764,0.374346,0.89011,0.4047,cluster4
0.315315,0.239219,0.212042,0.766484,0.311343,cluster4
0.337838,0.141283,0.450262,0.81044,0.132505,cluster4
0.193694,0.43015,0.212042,0.75,0.242506,cluster4
0.121622,0.422975,0.193717,0.631868,0.202011,cluster3
0.346847,0.282071,0.400524,0.576923,0.305306,cluster1
0.400901,0.271013,0.324607,0.675824,0.18611,cluster4
0.274775,0.168903,0.439791,0.714286,0.31328,cluster4
0.27027,0.143438,0.337696,0.78022,0.087141,cluster4
0.436937,0.191668,0.594241,0.491758,0.258042,cluster2
0.234234,0.293595,0.23822,0.791209,0.108761,cluster4
0.171171,0.547454,0.164921,0.576923,0.110595,cluster3
0.207207,0.348252,0.34555,0.423077,0.151652,cluster1
